+--------------------------------------------+------------------------+-----------------+
| Pattern                                    | Number of candlesticks | Number detected |
+--------------------------------------------+------------------------+-----------------+
| belt hold bearish                          |           1            |            1288 |
| belt hold bearish no trend                 |           1            |           23426 |
| belt hold bearish opp trend                |           1            |            2775 |
| belt hold bullish                          |           1            |            1139 |
| belt hold bullish no trend                 |           1            |           23713 |
| belt hold bullish opp trend                |           1            |            3277 |
| candle black                               |           1            |           15028 |
| candle black down trend                    |           1            |            1797 |
| candle black up trend                      |           1            |            1226 |
| candle short black                         |           1            |            2625 |
| candle short black down trend              |           1            |             304 |
| candle short black up trend                |           1            |             216 |
| candle short white                         |           1            |            2729 |
| candle short white down trend              |           1            |             178 |
| candle short white up trend                |           1            |             386 |
| candle white                               |           1            |           15192 |
| candle white down trend                    |           1            |            1050 |
| candle white up trend                      |           1            |            2120 |
| doji dragonfly                             |           1            |           12972 |
| doji dragonfly down trend                  |           1            |            1209 |
| doji dragonfly up trend                    |           1            |            1597 |
| doji gravestone                            |           1            |          100930 |
| doji gravestone down trend                 |           1            |            4799 |
| doji gravestone up trend                   |           1            |            4853 |
| doji long legged                           |           1            |           72385 |
| doji long legged down trend                |           1            |            4892 |
| doji long legged up trend                  |           1            |            5717 |
| doji nothern                               |           1            |           84412 |
| doji nothern no trend                      |           1            |         1539860 |
| doji nothern opp trend                     |           1            |           73900 |
| doji southern                              |           1            |           73900 |
| doji southern no trend                     |           1            |         1539860 |
| doji southern opp trend                    |           1            |           84412 |
| hammer                                     |           1            |              83 |
| hammer no trend                            |           1            |             645 |
| hammer opp trend                           |           1            |              70 |
| hanging man                                |           1            |            1522 |
| hanging man no trend                       |           1            |           15269 |
| hanging man opp trend                      |           1            |            1540 |
| high wave                                  |           1            |            5419 |
| high wave down trend                       |           1            |             789 |
| high wave up trend                         |           1            |             560 |
| marubozu black                             |           1            |          160607 |
| marubozu black down trend                  |           1            |            9666 |
| marubozu black up trend                    |           1            |            4960 |
| marubozu closing black                     |           1            |           79940 |
| marubozu closing black down trend          |           1            |            7717 |
| marubozu closing black up trend            |           1            |            4844 |
| marubozu closing white                     |           1            |           81500 |
| marubozu closing white down trend          |           1            |            4663 |
| marubozu closing white up trend            |           1            |            8588 |
| marubozu opening black                     |           1            |           93832 |
| marubozu opening black down trend          |           1            |           10156 |
| marubozu opening black up trend            |           1            |            5418 |
| marubozu opening white                     |           1            |           95005 |
| marubozu opening white down trend          |           1            |            4996 |
| marubozu opening white up trend            |           1            |           11134 |
| marubozu white                             |           1            |          162906 |
| marubozu white down trend                  |           1            |            4553 |
| marubozu white up trend                    |           1            |           10848 |
| rickshaw man                               |           1            |            8064 |
| rickshaw man down trend                    |           1            |            1075 |
| rickshaw man up trend                      |           1            |             844 |
| shooting star one candle                   |           1            |             926 |
| shooting star one candle no trend          |           1            |            7748 |
| shooting star one candle opp trend         |           1            |             725 |
| spinning top black                         |           1            |           22970 |
| spinning top black down trend              |           1            |            3179 |
| spinning top black up trend                |           1            |            2548 |
| spinning top white                         |           1            |           22571 |
| spinning top white down trend              |           1            |            2721 |
| spinning top white up trend                |           1            |            2934 |
| takuri line                                |           1            |             901 |
| takuri line no trend                       |           1            |            7373 |
| takuri line opp trend                      |           1            |             764 |
+--------------------------------------------+------------------------+-----------------+
| above the stomach                          |           2            |            3771 |
| above the stomach no trend                 |           2            |           82144 |
| above the stomach opp trend                |           2            |            8017 |
| below the stomach                          |           2            |            2836 |
| below the stomach no trend                 |           2            |           53320 |
| below the stomach opp trend                |           2            |            2792 |
| dark cloud cover                           |           2            |             338 |
| dark cloud cover no trend                  |           2            |            4235 |
| dark cloud cover opp trend                 |           2            |             148 |
| doji gapping down                          |           2            |             688 |
| doji gapping down no trend                 |           2            |           26759 |
| doji gapping down opp trend                |           2            |             225 |
| doji gapping up                            |           2            |             715 |
| doji gapping up no trend                   |           2            |           27356 |
| doji gapping up opp trend                  |           2            |             214 |
| doji star bearish                          |           2            |             217 |
| doji star bearish no trend                 |           2            |            2332 |
| doji star bearish opp trend                |           2            |              44 |
| doji star bullish                          |           2            |            1113 |
| doji star bullish no trend                 |           2            |            9903 |
| doji star bullish opp trend                |           2            |             296 |
| engulfing bearish                          |           2            |            1721 |
| engulfing bearish no trend                 |           2            |           22818 |
| engulfing bearish opp trend                |           2            |            2866 |
| engulfing bullish                          |           2            |            1849 |
| engulfing bullish no trend                 |           2            |           23022 |
| engulfing bullish opp trend                |           2            |            2808 |
| hammer inverted                            |           2            |               4 |
| hammer inverted no trend                   |           2            |              55 |
| hammer inverted opp trend                  |           2            |               3 |
| harami bearish                             |           2            |            2759 |
| harami bearish no trend                    |           2            |           20970 |
| harami bearish opp trend                   |           2            |            1102 |
| harami bullish                             |           2            |            1284 |
| harami bullish no trend                    |           2            |           20617 |
| harami bullish opp trend                   |           2            |            2211 |
| harami cross bearish                       |           2            |            1009 |
| harami cross bearish no trend              |           2            |            8768 |
| harami cross bearish opp trend             |           2            |             374 |
| harami cross bullish                       |           2            |             902 |
| harami cross bullish no trend              |           2            |            8853 |
| harami cross bullish opp trend             |           2            |             362 |
| homing pigeon                              |           2            |               2 |
| homing pigeon no trend                     |           2            |              43 |
| homing pigeon opp trend                    |           2            |               4 |
| in neck                                    |           2            |             442 |
| in neck no trend                           |           2            |            5871 |
| in neck opp trend                          |           2            |             278 |
| kicking bearish                            |           2            |               5 |
| kicking bearish down trend                 |           2            |               0 |
| kicking bearish up trend                   |           2            |               0 |
| kicking bullish                            |           2            |               7 |
| kicking bullish down trend                 |           2            |               0 |
| kicking bullish up trend                   |           2            |               1 |
| last engulfing bottom                      |           2            |            2866 |
| last engulfing bottom no trend             |           2            |           22818 |
| last engulfing bottom opp trend            |           2            |            1721 |
| last engulfing top                         |           2            |            2808 |
| last engulfing top no trend                |           2            |           23022 |
| last engulfing top opp trend               |           2            |            1849 |
| matching low                               |           2            |            2533 |
| matching low no trend                      |           2            |           29801 |
| matching low opp trend                     |           2            |             984 |
| meeting lines bearish                      |           2            |             908 |
| meeting lines bearish no trend             |           2            |            9387 |
| meeting lines bearish opp trend            |           2            |             468 |
| meeting lines bullish                      |           2            |             234 |
| meeting lines bullish no trend             |           2            |            6227 |
| meeting lines bullish opp trend            |           2            |             521 |
| on neck                                    |           2            |               0 |
| on neck no trend                           |           2            |               0 |
| on neck opp trend                          |           2            |               0 |
| piercing pattern                           |           2            |             102 |
| piercing pattern no trend                  |           2            |             828 |
| piercing pattern opp trend                 |           2            |              49 |
| separating lines bearish                   |           2            |             763 |
| separating lines bearish no trend          |           2            |           10356 |
| separating lines bearish opp trend         |           2            |             482 |
| separating lines bullish                   |           2            |             871 |
| separating lines bullish no trend          |           2            |           10756 |
| separating lines bullish opp trend         |           2            |             501 |
| shooting star two candle                   |           2            |              25 |
| shooting star two candle no trend          |           2            |              90 |
